,Unnamed: 0,counties,1976D,1976R,1976Total,1980D,1980R,1980Total,1984D,1984R,1984Total,1988D,1988R,1988Total,1992D,1992R,1992Total,1996D,1996R,1996Total,2000D,2000R,2000Total,2004D,2004R,2004Total,2008D,2008R,2008Total,2012D,2012R,2012Total,2016D,2016R,2016Total,Partisan Lean 2016,Partisan Lean 1976,Partisan Lean 1980,Partisan Lean 1984,Partisan Lean 1988,Partisan Lean 1992,Partisan Lean 1996,Partisan Lean 2000,Partisan Lean 2004,Partisan Lean 2008,Partisan Lean 2012,Partisan Lean 2020,Partisan Lean 2024,Partisan Lean 2028,Partisan Lean 2032,Partisan Lean 2036,Partisan Lean 2040,2040Total,1976Proportion,1980Proportion,1984Proportion,1988Proportion,1992Proportion,1996Proportion,2000Proportion,2004Proportion,2008Proportion,2012Proportion,2016Proportion,2020Proportion,2024Proportion,2028Proportion,2032Proportion,2036Proportion,2040Proportion,2020Total,2024Total,2028Total,2032Total,2036Total
0,0,Alachua,0.642051282051282,0.3579487179487179,44578,0.5753575357535753,0.4246424642464247,51364,0.4644644644644644,0.5355355355355355,57253,0.49342770475227504,0.506572295247725,60213,0.6238993710691824,0.3761006289308176,76372,0.6131968145620023,0.3868031854379977,74516,0.5810526315789474,0.4189473684210526,85757,0.5666666666666667,0.4333333333333333,111328,0.6091370558375635,0.39086294416243655,125967,0.5881753312945974,0.4118246687054027,120773,0.6182396606574762,0.3817603393425239,130100,0.10710675185947616,0.13152842532828202,0.12841095016957527,0.05616066189946439,0.03244329145827507,0.08935018045218235,0.06584418136400227,0.0783721812289474,0.07910653424866665,0.07224858071656348,0.06853670877459739,0.09754772648529908,0.1027181420153731,0.10787834941337593,0.11302838890844313,0.11816830049236415,0.12329812392145101,198911.7142857143,0.014149437202945297,0.013931233992601507,0.01369672611571632,0.01399564462177731,0.014370885202270981,0.014049718915119457,0.014381591723587406,0.014629700810476069,0.014974461853976915,0.014221988694995084,0.01369122468267877,21480135.85714285,21522571.0,21565006.14285714,21607441.285714284,21649876.428571425,21692311.571428567,145867.7857142857,156476.57142857142,167085.35714285716,177694.14285714284,188302.92857142858
1,1,Baker,0.7385892116182573,0.2614107883817427,4195,0.5335365853658536,0.4664634146341463,4976,0.284,0.716,4866,0.2835671342685371,0.7164328657314629,4781,0.3659147869674185,0.6340852130325815,6756,0.3812709030100335,0.6187290969899666,6637,0.29867482161060144,0.7013251783893986,8155,0.21987951807228914,0.7801204819277109,9955,0.2116935483870968,0.7883064516129032,11087,0.2048435923309788,0.7951564076690212,11390,0.17008196721311478,0.8299180327868853,12705,-0.34105094158488525,0.22806635489525728,0.08658999978185355,-0.12430380256500001,-0.1774172790254629,-0.1686344036495815,-0.16608173018796646,-0.20400562873939854,-0.2676806143457109,-0.3251949267339032,-0.3147950301890212,-0.3746433185576734,-0.4031284049370356,-0.43155725221488694,-0.4599300820234049,-0.4882471146871552,-0.5165085692334088,19540.22619047619,0.001331528760068992,0.001349618805918252,0.001164100907883877,0.0011112745908145637,0.0012712735089632685,0.001251382044656823,0.0013676070817059285,0.0013081944485510318,0.0013179789831864065,0.0013412637860779645,0.0013370254388426885,2259286.9880952383,2263753.083333333,2268219.1785714286,2272685.2738095243,2277151.369047619,2281617.4642857146,13957.607142857143,15074.130952380952,16190.654761904763,17307.178571428572,18423.70238095238
2,2,Bay,0.5111561866125761,0.488843813387424,29484,0.3713692946058091,0.6286307053941909,34561,0.242,0.758,38744,0.2676767676767677,0.7323232323232324,43851,0.3597951344430218,0.6402048655569783,45689,0.3754266211604095,0.6245733788395904,51694,0.3282208588957055,0.6717791411042944,58876,0.28298086606243705,0.7170191339375629,75024,0.2945344129554656,0.7054655870445343,81366,0.27918781725888325,0.7208121827411168,80101,0.259453781512605,0.7405462184873949,88222,-0.251679127285395,0.0006333298895760953,-0.07557729097819094,-0.166303802565,-0.1933076456172323,-0.1747540561739782,-0.1719260120375905,-0.17445959145429446,-0.20457926635556295,-0.2423540621655344,-0.24045080526111678,-0.2588918107514999,-0.2704158007065587,-0.2819170384455205,-0.2933956136323843,-0.304851615402157,-0.316285132364996,132082.63095238095,0.00935847293489253,0.00937382949182892,0.009268788650853458,0.010192533378332863,0.008597278767173295,0.009746714391515716,0.009873603254753923,0.009858963365956062,0.009672470275633187,0.009432534725955314,0.009284144688357313,14169807.94047619,14197799.416666668,14225790.892857146,14253782.36904762,14281773.845238095,14309765.321428573,97093.28571428571,104091.15476190476,111089.02380952382,118086.89285714287,125084.76190476191
3,3,Bradford,0.6973684210526315,0.3026315789473684,5617,0.5463812436289501,0.45361875637105,6243,0.362,0.638,6471,0.3614457831325301,0.6385542168674699,6636,0.453416149068323,0.546583850931677,8341,0.4537346711259755,0.5462653288740245,8248,0.3619631901840491,0.6380368098159509,8675,0.3005025125628141,0.6994974874371859,10855,0.2965587044534413,0.7034412955465588,11703,0.2878787878787879,0.7121212121212122,11664,0.2474332648870637,0.7525667351129363,12158,-0.2636996439109363,0.1868455643296315,0.09943465804495011,-0.046303802564999996,-0.09953863016146985,-0.08113304154867701,-0.0936179620720245,-0.14071726016595087,-0.18705761985518593,-0.24032977066755873,-0.23175983464121214,-0.29475182282450874,-0.32290232494804627,-0.350997248551451,-0.3790368126636565,-0.4070212350212472,-0.4349507320788746,17454.440476190477,0.0017828836818373128,0.0016932616972161671,0.001548067606846808,0.0015424426238538893,0.0015695222525551546,0.0015551301950172485,0.0014548119477374528,0.001426464162633998,0.00139120664203396,0.0013735294820731675,0.001279461258201449,1636917.3452380954,1640146.583333333,1643375.8214285714,1646605.0595238097,1649834.2976190476,1653063.5357142857,13417.892857142859,14225.202380952382,15032.511904761906,15839.82142857143,16647.130952380954
4,4,Brevard,0.5111788617886178,0.4888211382113821,92364,0.3592750533049041,0.6407249466950958,115636,0.265,0.735,139511,0.29061553985872857,0.7093844601412714,149159,0.4193548387096774,0.5806451612903226,195860,0.4774044032444959,0.5225955967555039,195133,0.457905544147844,0.542094455852156,218488,0.41893252769385697,0.581067472306143,265462,0.4478216818642351,0.5521783181357649,288927,0.4355329949238578,0.5644670050761421,286428,0.3966244725738397,0.6033755274261603,318141,-0.11450843622416029,0.000656005065617804,-0.08767153227909591,-0.14330380256499997,-0.1703688734352714,-0.11519435190732263,-0.06994822995350408,-0.04477490620215596,-0.06862760472414303,-0.08906679325676492,-0.08410562759614226,-0.06960993594760367,-0.06409894614901646,-0.05859883689017664,-0.05310956529206834,-0.047631088728650184,-0.042163364824869376,461826.7142857143,0.029317120952327143,0.031363448601519885,0.03337543809284578,0.03466986126151631,0.036854888908458526,0.03679161255386769,0.036640801479799485,0.034884572044324866,0.03434650614910245,0.03372919260041608,0.033479937830684904,47365688.85714286,47459216.0,47552743.14285714,47646270.28571428,47739797.42857143,47833324.57142858,344917.7857142857,368299.5714285714,391681.35714285716,415063.14285714284,438444.9285714285
5,5,Broward,0.5227963525835866,0.4772036474164134,342343,0.3890710382513661,0.6109289617486339,410561,0.433,0.5670000000000001,449226,0.4974874371859296,0.5025125628140703,440605,0.626360338573156,0.3736396614268441,533050,0.6917211328976035,0.3082788671023965,505098,0.6856561546286877,0.3143438453713123,575239,0.6497975708502024,0.35020242914979755,706872,0.67472306143001,0.3252769385699899,735091,0.675730110775428,0.3242698892245721,757354,0.6793422404933196,0.32065775950668035,837388,0.1682093316953196,0.01227349586058657,-0.05787554733263395,0.02469619743500001,0.03650302389192961,0.09181114795615597,0.14436849969960353,0.1829757042786877,0.1622374384322024,0.13783458630901002,0.15609148825542796,0.19933197655846868,0.21353262060453915,0.22770522782279556,0.24184990870333678,0.2559667730843458,0.2700559301573051,1170215.9761904762,0.1086625864858877,0.11135467173967112,0.10746904941328453,0.10241228635972616,0.1003037809284888,0.09523437818171944,0.09646853832905417,0.09289061037028276,0.08738472884725162,0.08918450337500357,0.08812349926655656,113902950.23809524,114127741.33333334,114352532.42857143,114577323.52380952,114802114.61904764,115026905.71428572,889227.107142857,945424.880952381,1001622.6547619047,1057820.4285714286,1114018.2023809524
6,6,Calhoun,0.6828774062816616,0.3171225937183384,3689,0.6046986721144024,0.3953013278855976,3884,0.345,0.655,3807,0.35418768920282545,0.6458123107971746,3784,0.4918918918918919,0.5081081081081081,4579,0.5106635071090048,0.4893364928909952,4158,0.4290123456790124,0.5709876543209876,5175,0.35894843276036403,0.641051567239636,5963,0.2954314720812183,0.7045685279187818,6264,0.2758974358974359,0.7241025641025641,6183,0.21079958463136034,0.7892004153686397,6128,-0.30033332416663966,0.17235454955866158,0.1577520865304024,-0.06330380256500001,-0.10679672409117452,-0.042657298725108095,-0.036689126088995216,-0.07366810467098756,-0.12861169965763597,-0.24145700303978174,-0.2437411866225641,-0.3083579487770862,-0.3440347169093343,-0.37964104715143776,-0.4151772170914967,-0.4506435026797817,-0.486040178241808,8845.595238095239,0.001170920046697142,0.0010534404023686678,0.0009107546560447842,0.0008795363002807589,0.0008616283892159275,0.0007839756729972985,0.0008678561186791147,0.0007836025611963639,0.0007446396997095383,0.0007280978041545263,0.0006448872010411644,761907.5476190477,763409.1666666665,764910.7857142857,766412.4047619047,767914.0238095238,769415.6428571428,6968.571428571429,7343.976190476191,7719.380952380953,8094.785714285715,8470.190476190477
7,7,Charlotte,0.4477157360406092,0.5522842639593909,23333,0.3228511530398323,0.6771488469601677,31700,0.29100000000000004,0.7090000000000001,38793,0.3561368209255533,0.6438631790744467,45159,0.4848883048620237,0.5151116951379764,62064,0.4931192660550458,0.5068807339449541,63027,0.4552929085303186,0.5447070914696814,66900,0.4350912778904665,0.5649087221095336,79786,0.4634888438133874,0.5365111561866126,85499,0.4281376518218623,0.5718623481781376,84923,0.3568464730290456,0.6431535269709543,97187,-0.1542864357689544,-0.0628071206823908,-0.12409543254416772,-0.11730380256499995,-0.10484759236844665,-0.04966088575497629,-0.05423336714295418,-0.047387541819681356,-0.052468854527533526,-0.07339963130761262,-0.09150097069813773,-0.11134808415989639,-0.11860533699126918,-0.12584826157475248,-0.13307691437642077,-0.1402913515291857,-0.14749162883545708,136264.95238095237,0.007406093100998758,0.008597852923554779,0.009280510998672263,0.010496559139634987,0.011678555219108391,0.011883510038961216,0.011219241418286523,0.01048474156424838,0.010163785071115232,0.010000363872265057,0.010227586881133757,13480773.976190476,13507383.166666664,13533992.357142858,13560601.547619047,13587210.73809524,13613819.92857143,103003.46428571429,109655.76190476191,116308.05952380953,122960.35714285714,129612.65476190476
8,8,Citrus,0.5422177009155645,0.4577822990844354,17707,0.390625,0.609375,24430,0.335,0.665,31236,0.3661971830985915,0.6338028169014084,33474,0.4923928077455048,0.5076071922544951,44746,0.5223529411764706,0.4776470588235294,49600,0.4612202688728025,0.5387797311271976,57248,0.4252525252525253,0.5747474747474748,69467,0.4185336048879837,0.5814663951120163,76509,0.3894523326572008,0.6105476673427993,74169,0.2947916666666667,0.7052083333333333,80412,-0.21634124213133332,0.03169484419256452,-0.05632158558400002,-0.07330380256499996,-0.09478723019540847,-0.0421563828714952,-0.024999692021529407,-0.04146018147719749,-0.06230760716547468,-0.11835487023301633,-0.13018628986279923,-0.1761740134689802,-0.19490492170878326,-0.21359884886187785,-0.23225594066667554,-0.2508763420017601,-0.2694601968926804,125012.13095238096,0.0056203527424413926,0.006626042489666981,0.007472637887106614,0.007780549184883225,0.008419834877452697,0.009351898359948534,0.009600584943409074,0.00912871358689046,0.009095089205791357,0.008733994183460627,0.008462250262748388,13704366.44047619,13731443.916666668,13758521.392857146,13785598.86904762,13812676.345238095,13839753.821428573,91165.28571428571,97934.65476190476,104704.02380952382,111473.39285714287,118242.76190476191
9,9,Clay,0.4979674796747967,0.5020325203252032,17148,0.3278008298755187,0.6721991701244813,24122,0.203,0.797,27060,0.23069207622868604,0.7693079237713141,33837,0.2865928659286593,0.7134071340713407,45485,0.3042071197411003,0.6957928802588996,47092,0.2594099694811801,0.7405900305188199,57559,0.2341708542713568,0.7658291457286432,81495,0.28456104944500504,0.715438950554995,94723,0.26895854398382196,0.7310414560161779,96805,0.2703549060542797,0.7296450939457202,107317,-0.2407780027437203,-0.012555377048203309,-0.11914575570848135,-0.20530380256499997,-0.23029233706531393,-0.24795632468834072,-0.24314551345689966,-0.24327048086881986,-0.2533892781466432,-0.252327425675995,-0.2506800785361781,-0.2519057109816458,-0.2533794126092914,-0.2548502046563126,-0.2563180985890492,-0.25778310580619124,-0.25924523763931173,176598.59523809524,0.0054429213772736774,0.006542504991229919,0.006473606775038577,0.007864923306712485,0.008558892178092699,0.008879024144489845,0.009652740161362543,0.010709322610212587,0.011260297936715609,0.011399564601516888,0.011293629202698214,22571893.04761905,22616549.66666667,22661206.285714284,22705862.904761907,22750519.52380952,22795176.14285714,120777.82142857142,131941.97619047618,143106.13095238095,154270.2857142857,165434.44047619047
10,10,Collier,0.3744939271255061,0.6255060728744939,23710,0.24442082890541975,0.7555791710945802,33613,0.2122122122122122,0.7877877877877878,42691,0.24723618090452265,0.7527638190954774,51980,0.3283018867924529,0.6716981132075471,71944,0.3528114663726571,0.6471885336273429,72517,0.3312945973496432,0.6687054026503567,92202,0.34409687184661963,0.6559031281533805,128683,0.3864783047426841,0.6135216952573158,141988,0.34879032258064524,0.6512096774193549,149324,0.366839378238342,0.633160621761658,172510,-0.144293530559658,-0.1360289295974939,-0.20252575667858028,-0.19609159035278778,-0.21374823238947732,-0.2062473038245471,-0.1945411668253429,-0.17138585300035675,-0.14346326057138037,-0.15041017037831594,-0.1708482999393548,-0.1303687380438845,-0.12065591992134728,-0.1109622781550641,-0.10128773717309514,-0.09163222184939457,-0.08199565750022941,277015.97619047615,0.007525756114716519,0.009116707581055105,0.010213035729237688,0.012082002348994146,0.013537670415756866,0.013672814785652982,0.015462428957381974,0.016910335130375934,0.016878975364361098,0.017584097769298153,0.01815429031521072,35513456.73809524,35583718.83333333,35653980.928571425,35724243.02380952,35794505.11904762,35864767.21428571,189188.35714285716,206753.88095238095,224319.40476190473,241884.92857142858,259450.45238095237
11,11,Columbia,0.6285425101214575,0.3714574898785425,10766,0.5020576131687243,0.4979423868312758,11648,0.326,0.674,13075,0.3444108761329305,0.6555891238670695,11916,0.4601990049751243,0.5398009950248756,14954,0.4685714285714286,0.5314285714285715,16326,0.39157245632065774,0.6084275436793422,18514,0.32358870967741943,0.6764112903225806,24991,0.3292806484295846,0.6707193515704154,28215,0.3147773279352227,0.6852226720647773,27227,0.2714138286893705,0.7285861713106295,28864,-0.23971908010862952,0.11801965339845744,0.055111027584724304,-0.08230380256499997,-0.1165735371610695,-0.07435018564187573,-0.0787812046265714,-0.11110799402934224,-0.16397142274058057,-0.20760782669141542,-0.20486129458477736,-0.25389053981426457,-0.2769082746701059,-0.2998805648076086,-0.3228075893194813,-0.3456895262417561,-0.36852655256221567,46499.41666666667,0.003417220174231887,0.003159236304528899,0.003127953014916089,0.002769702577734018,0.0028138875152511427,0.0030782075125911244,0.003104828634053165,0.003284087138497121,0.0033540883025709803,0.003206197462997782,0.0030375365814053804,5351533.583333334,5362111.916666667,5372690.25,5383268.583333334,5393846.916666667,5404425.25,33276.5,35921.083333333336,38565.66666666667,41210.25,43854.833333333336
12,12,DeSoto,0.5756646216768916,0.4243353783231084,4822,0.44720496894409945,0.5527950310559007,6285,0.3233233233233233,0.6766766766766766,7129,0.3393756294058409,0.6606243705941591,6464,0.4629388816644993,0.5370611183355005,7429,0.4959630911188005,0.5040369088811996,7492,0.4381443298969072,0.5618556701030928,7812,0.41431451612903225,0.5856854838709677,9510,0.43756345177664974,0.5624365482233502,10164,0.4275582573454914,0.5724417426545086,9887,0.3581011351909185,0.6418988648090815,10903,-0.15303177360708148,0.06514176495389157,0.0002583833600994234,-0.08498047924167668,-0.1216087838881591,-0.0716103089525007,-0.05138954207919949,-0.06453612045309276,-0.07324561628896775,-0.09932502334435028,-0.09208036517450863,-0.11610535764431162,-0.12167981116941462,-0.12724325885611165,-0.13279574407721384,-0.13833730994963744,-0.14386799933641825,14710.380952380952,0.0015305439048993274,0.0017046531742757663,0.0017054819918422028,0.0015024637011138546,0.001397911619018372,0.001412589163563194,0.0013100854104582116,0.001249716645476676,0.001208256370984634,0.0011642734901626721,0.0011473898748289519,1282239.6904761905,1284767.166666667,1287294.6428571427,1289822.1190476192,1292349.5952380951,1294877.0714285714,11551.035714285714,12182.904761904763,12814.77380952381,13446.642857142857,14078.511904761905
13,13,Dixie,0.7951564076690212,0.2048435923309788,2752,0.6459183673469387,0.35408163265306125,3173,0.35700000000000004,0.643,3428,0.402,0.598,3397,0.5698924731182795,0.4301075268817204,4373,0.5533980582524272,0.4466019417475727,3800,0.4035087719298245,0.5964912280701754,4667,0.3064516129032258,0.6935483870967742,6442,0.2704918032786885,0.7295081967213115,7293,0.2621951219512195,0.7378048780487805,6959,0.17893660531697342,0.8210633946830266,7246,-0.3321963034810266,0.28463355094602116,0.19897178176293873,-0.051303802564999945,-0.05898441329399995,0.035343282501279494,0.006045425054427178,-0.09917167842017549,-0.1811085195147742,-0.2663966718423115,-0.2574435005687805,-0.3724494142050787,-0.42282763921329547,-0.4731064007312682,-0.5232860907338761,-0.5733670988831818,-0.623349812547076,11417.440476190477,0.0008735082592872148,0.0008605989692883066,0.0008200858841401419,0.0007895837241156812,0.0008228654610266983,0.0007164760840283151,0.0007826636726329329,0.0008465483312471869,0.0008669631752844287,0.0008194780234694077,0.0007625412302128392,1256259.8452380951,1258742.083333333,1261224.3214285714,1263706.5595238095,1266188.7976190476,1268671.0357142857,8314.642857142857,8935.202380952382,9555.761904761905,10176.32142857143,10796.880952380952
14,14,Duval,0.5852674066599395,0.4147325933400606,182561,0.4783057851239669,0.5216942148760331,195554,0.376,0.624,206249,0.3688442211055277,0.6311557788944724,203979,0.4270833333333333,0.5729166666666666,249926,0.4692144373673036,0.5307855626326964,254123,0.4144602851323829,0.5855397148676171,265181,0.4185110663983903,0.5814889336016096,381061,0.4904137235116045,0.5095862764883956,416693,0.4818181818181818,0.5181818181818182,412733,0.4926778242677825,0.5073221757322176,436573,-0.01845508453021749,0.07474454993693946,0.03135919953996685,-0.032303802564999984,-0.09214019218847225,-0.1074658572836667,-0.07813819583069637,-0.08822016521761705,-0.0690490660196097,-0.046474751609395515,-0.037820440701818225,-0.015017403645714467,-0.003493397008419663,0.008007857379837446,0.019486449183204968,0.03094246753678931,0.042376001050897116,671997.1785714286,0.0579464176321705,0.05303925964078333,0.049341275822059535,0.04741198070691568,0.04702846403214237,0.04791396102671777,0.04447129534443407,0.05007552835352132,0.049534826052213696,0.048602618632073435,0.04594326697456663,73408195.96428572,73553233.25,73698270.53571428,73843307.82142857,73988345.10714287,74133382.39285715,490700.5714285714,526959.8928571428,563219.2142857143,599478.5357142857,635737.8571428572
15,15,Escambia,0.4797570850202429,0.5202429149797569,80715,0.3925233644859813,0.6074766355140188,88559,0.287,0.713,93549,0.3158953722334004,0.6841046277665995,95460,0.37794299876084253,0.6220570012391574,105221,0.3831877729257642,0.6168122270742359,107925,0.3592630501535312,0.6407369498464688,116856,0.34040404040404043,0.6595959595959595,143278,0.402834008097166,0.5971659919028339,154874,0.3961499493414387,0.6038500506585613,148967,0.39304531085353,0.60695468914647,154172,-0.11808759794446999,-0.030765771702757128,-0.054423221098018726,-0.12130380256500001,-0.14508904106059956,-0.15660619185615748,-0.16416486027223576,-0.14341740019646876,-0.14715609201395957,-0.134054467023834,-0.12348867317856133,-0.11797535252755154,-0.11278043056264053,-0.10759576511371804,-0.10242131576096014,-0.09725704232303656,-0.09210290485519224,218479.10714285716,0.025619629051005646,0.024019471831453875,0.022379875838805758,0.022188302120719147,0.019799388674751936,0.02034886351809366,0.01959694581726891,0.01882827566042137,0.01841081239668184,0.017542058158092726,0.016224469575541516,19251192.17857143,19289143.75,19327095.32142857,19365046.89285714,19402998.46428572,19440950.035714287,171039.64285714284,180527.5357142857,190015.42857142858,199503.32142857142,208991.2142857143
