,Unnamed: 0,counties,1976D,1976R,1976Total,1980D,1980R,1980Total,1984D,1984R,1984Total,1988D,1988R,1988Total,1992D,1992R,1992Total,1996D,1996R,1996Total,2000D,2000R,2000Total,2004D,2004R,2004Total,2008D,2008R,2008Total,2012D,2012R,2012Total,2016D,2016R,2016Total,Partisan Lean 1976,Partisan Lean 1980,Partisan Lean 1984,Partisan Lean 1988,Partisan Lean 1992,Partisan Lean 1996,Partisan Lean 2000,Partisan Lean 2004,Partisan Lean 2008,Partisan Lean 2012,Partisan Lean 2016,Partisan Lean 2020,Partisan Lean 2024,Partisan Lean 2028,Partisan Lean 2032,Partisan Lean 2036,Partisan Lean 2040,2040Total,2020Total,2024Total,2028Total,2032Total,2036Total
0,0,Baker,0.4973985431841832,0.5026014568158168,6919,0.3465783664459161,0.653421633554084,8013,0.3326653306613227,0.6673346693386774,7812,0.4393782383419689,0.5606217616580311,6826,0.4555873925501433,0.5444126074498568,7530,0.3907910271546635,0.6092089728453365,7703,0.28118393234672306,0.7188160676532769,8258,0.29531568228105903,0.7046843177189409,9034,0.33195020746887965,0.6680497925311204,8777,0.2931937172774869,0.7068062827225131,8448,0.2245345016429354,0.7754654983570646,8779,-0.013124313538816823,-0.10036821913808391,-0.07563847190367728,-0.0216061749520311,-0.07896179806685671,-0.15656160604333647,-0.2214965180032769,-0.19224445013694097,-0.20493826765212037,-0.22644490524251315,-0.28659840715506457,-0.3182828362706118,-0.3502206326298847,-0.3820953730816683,-0.4139073061224394,-0.4456566787825409,-0.47734373663780616,10686.761904761905,9361.82142857143,9626.809523809523,9891.797619047618,10156.785714285714,10421.77380952381
1,1,Benton,0.43329775880469584,0.5667022411953042,29307,0.4674846625766872,0.5325153374233129,34507,0.4738955823293173,0.5261044176706827,34062,0.5474974463738509,0.452502553626149,31610,0.6084724005134787,0.3915275994865212,37923,0.5802325581395349,0.4197674418604651,34500,0.551462621885157,0.4485373781148429,38226,0.589430894308943,0.4105691056910569,45735,0.6622039134912462,0.3377960865087539,46478,0.6492146596858639,0.3507853403141361,44802,0.6845714285714286,0.31542857142857145,48753,-0.07722509791830418,0.02053807699268717,0.06559177976431729,0.08651303307985092,0.07392320989647871,0.03287992494153491,0.04878217153515707,0.10187076189094302,0.12531543837024617,0.12957603716586386,0.1734385197734286,0.161439956050053,0.17576742184181882,0.19006660041716827,0.20433760325295225,0.2185805411682793,0.2327955243298021,63378.02380952381,51601.892857142855,53957.11904761905,56312.34523809524,58667.57142857143,61022.79761904762
2,2,Clackamas,0.4713242961418144,0.5286757038581856,93959,0.4282407407407407,0.5717592592592592,109483,0.407815631262525,0.5921843687374749,116173,0.4933875890132248,0.5066124109867751,123351,0.5284552845528455,0.4715447154471544,154538,0.5319634703196348,0.4680365296803654,145146,0.4963119072708114,0.5036880927291886,162262,0.49342770475227504,0.506572295247725,195000,0.5528205128205128,0.4471794871794872,191878,0.5185185185185186,0.4814814814814815,189332,0.5359550561797753,0.4640449438202247,214039,-0.03919856058118559,-0.018705844843259323,-0.0004881713024749712,0.03240317571922485,-0.006093906064154497,-0.015389162878365226,-0.006368543079188549,0.00586757233427504,0.01593203769951279,-0.0011201040014814367,0.02482214738177535,0.010379349160442253,0.011289447884684556,0.012197749769209842,0.01310426189516889,0.014008991301932117,0.014911944987423098,282971.10714285716,224535.39285714284,236222.5357142857,247909.67857142858,259596.82142857142,271283.96428571426
3,3,Clatsop,0.5195767195767196,0.4804232804232804,13616,0.5142517814726841,0.485748218527316,14959,0.5,0.5,15085,0.5755102040816327,0.4244897959183674,14316,0.6214382632293081,0.3785617367706921,16812,0.5919811320754716,0.40801886792452813,15405,0.5442764578833693,0.4557235421166307,16474,0.5519348268839104,0.4480651731160896,19309,0.5979274611398964,0.4020725388601036,18548,0.5760416666666667,0.4239583333333334,17818,0.5322033898305085,0.4677966101694915,19664,0.009053862853719563,0.06730519588868411,0.09169619743500002,0.1145257907876327,0.08688907261230805,0.04462849887747167,0.04159600753336934,0.06437469446591038,0.061038986018896346,0.05640304414666664,0.021070481032508526,0.02206619559320444,0.01340170530095719,0.0047543216146976874,-0.0038760228808527586,-0.012489395203218123,-0.021085861975322473,23482.95238095238,20225.214285714286,20876.761904761905,21528.309523809523,22179.85714285714,22831.404761904763
4,4,Columbia,0.6052356020942408,0.3947643979057592,13859,0.5180586907449211,0.4819413092550791,15505,0.5125628140703518,0.4874371859296482,16105,0.5831622176591376,0.4168377823408624,15806,0.6140602582496414,0.3859397417503587,19402,0.5990453460620525,0.4009546539379473,18476,0.5242195909580194,0.4757804090419806,21195,0.5142857142857142,0.4857142857142857,24917,0.5629552549427679,0.4370447450572321,24768,0.5272536687631026,0.4727463312368973,23875,0.434584755403868,0.5654152445961321,26618,0.09471274537124075,0.07111210516092104,0.10425901150535177,0.12217780436513759,0.07951106763264137,0.051692712864052526,0.021539140608019425,0.026725581867714232,0.02606677982176786,0.007615046243102608,-0.07654815339413201,-0.06494201609976358,-0.08641901154385323,-0.10785360420527468,-0.1292459611887864,-0.15059624861322618,-0.17190463161932712,35526.72619047619,28345.357142857145,29781.630952380954,31217.904761904763,32654.178571428572,34090.45238095238
5,5,Coos,0.5993723849372385,0.4006276150627615,24725,0.4750566893424037,0.5249433106575964,28176,0.49899598393574296,0.501004016064257,27339,0.579650565262076,0.420349434737924,24836,0.5652777777777778,0.43472222222222223,29659,0.5275779376498799,0.4724220623501199,27638,0.4261057173678533,0.5738942826321467,29379,0.4402451481103166,0.5597548518896833,33362,0.4838709677419355,0.5161290322580646,30951,0.4666666666666666,0.5333333333333333,28686,0.36906077348066296,0.6309392265193371,31313,0.08884952821423853,0.02811010375840367,0.09069218137074297,0.11866615196807606,0.030728587160777754,-0.019774695548120058,-0.07657473298214668,-0.04731498430768338,-0.05301750737906452,-0.05297195585333342,-0.14207213531733703,-0.15392157438442666,-0.1812133594874581,-0.20845126146538462,-0.23563549266575023,-0.26276626418322735,-0.289843785869607,35629.92857142857,32392.071428571428,33039.642857142855,33687.21428571429,34334.78571428572,34982.357142857145
6,6,Crook,0.5479876160990712,0.4520123839009288,4777,0.41,0.59,5862,0.3755020080321285,0.6244979919678716,6064,0.4714285714285715,0.5285714285714286,5882,0.4811715481171548,0.5188284518828452,7271,0.4451073985680191,0.5548926014319809,6989,0.31573389651531153,0.6842661034846885,8277,0.3068297655453619,0.6931702344546382,10051,0.3633540372670808,0.6366459627329193,10352,0.3133402275077559,0.6866597724922441,10230,0.2368995633187773,0.7631004366812227,12172,0.03746475937607119,-0.03694658558400005,-0.032801794532871464,0.010444158134571502,-0.053377642499845224,-0.10224523462998086,-0.18694655383468844,-0.1807303668726381,-0.1735344378539192,-0.20629839501224412,-0.27423334547922273,-0.3042371442821832,-0.33919829080784325,-0.37409041232010054,-0.4089137808390717,-0.44366866677989947,-0.47835533896548554,16897.47619047619,12689.857142857141,13531.380952380952,14372.904761904761,15214.42857142857,16055.95238095238
7,7,Curry,0.5215562565720295,0.4784437434279706,6507,0.351290684624018,0.6487093153759821,8488,0.3895582329317269,0.6104417670682731,8815,0.457905544147844,0.542094455852156,9012,0.5021645021645021,0.4978354978354978,11050,0.4670731707317073,0.5329268292682927,10972,0.38419913419913415,0.6158008658008658,11513,0.4159021406727829,0.5840978593272171,12799,0.4402907580477674,0.5597092419522326,12332,0.4120707596253903,0.5879292403746098,11678,0.3734939759036144,0.6265060240963854,12611,0.011033399849029513,-0.095655900959982,-0.018745569633273063,-0.0030788691461559603,-0.03238468845249787,-0.0802794624662927,-0.11848131615086582,-0.07165799174521709,-0.09659771707323261,-0.10756786289460973,-0.1376389328943856,-0.1514767857060022,-0.1670434204255784,-0.18257932139421484,-0.1980846097302944,-0.2135594058375645,-0.22900382941088537,15307.071428571428,13301.17857142857,13702.357142857141,14103.535714285714,14504.714285714284,14905.892857142855
8,8,Deschutes,0.5115062761506276,0.4884937238493725,19382,0.3884393063583815,0.6115606936416185,28715,0.376753507014028,0.6232464929859719,31066,0.4647599591419816,0.5352400408580184,31366,0.5007012622720898,0.4992987377279102,43918,0.4479905437352246,0.5520094562647755,45282,0.4070512820512821,0.592948717948718,57885,0.4274111675126904,0.5725888324873096,74048,0.4984646878198567,0.5015353121801432,79782,0.4654282765737874,0.5345717234262125,81900,0.4815642458100559,0.5184357541899441,98557,0.0009834194276275854,-0.05850727922561855,-0.031550295550971996,0.0037755458479816206,-0.03384792834491024,-0.09936208946277536,-0.09562916829871787,-0.060148964905309577,-0.03842378730114332,-0.05421034594621266,-0.029568662987944083,-0.05726884371171348,-0.058668846791713136,-0.06006608579670569,-0.061460571619610604,-0.06285231508907874,-0.0642413269700004,152296.35714285716,105873.14285714286,115157.78571428571,124442.42857142857,133727.07142857142,143011.7142857143
9,9,Douglas,0.4758909853249476,0.5241090146750523,32973,0.35215946843853824,0.6478405315614618,39516,0.3664658634538153,0.6335341365461847,39996,0.4614594039054471,0.538540596094553,38415,0.42600276625172895,0.5739972337482712,45860,0.4112903225806451,0.5887096774193548,42769,0.3191940615058324,0.6808059384941675,47220,0.3346897253306205,0.6653102746693794,54984,0.3960703205791107,0.6039296794208894,52937,0.3575883575883576,0.6424116424116425,49803,0.28932893289328937,0.7106710671067107,53521,-0.034631871398052405,-0.09478711714546179,-0.04183793911118466,0.0004749906114471236,-0.10854642436527107,-0.1360623106173549,-0.18348638884416757,-0.15287040708737948,-0.14081815454188934,-0.16205026493164243,-0.22180397590471063,-0.23470837135995737,-0.2560249873934879,-0.2772995172870196,-0.2985321268974559,-0.3197229811031548,-0.3408722438116456,66705.14285714286,56959.607142857145,58908.71428571428,60857.82142857143,62806.928571428565,64756.03571428571
10,10,Gilliam,0.45369406867846,0.5463059313215402,1166,0.3878923766816144,0.6121076233183856,1140,0.3453815261044177,0.6546184738955824,1073,0.4701718907987866,0.5298281092012133,897,0.4979253112033195,0.5020746887966805,1038,0.5488810365135454,0.4511189634864546,1040,0.3455882352941177,0.6544117647058824,1090,0.32894736842105265,0.6710526315789473,1138,0.3985581874356334,0.6014418125643667,1110,0.3676470588235294,0.6323529411764706,1061,0.2631578947368421,0.7368421052631579,1019,-0.05682878804454,-0.05905420890238561,-0.0629222764605823,0.0091874775047866,-0.036623879413680505,0.0015284033155453791,-0.15709221505588228,-0.15861276399694735,-0.1383302876853666,-0.15199156369647066,-0.2479750140611579,-0.25940191116441724,-0.2923853857855079,-0.3253037399799581,-0.35815723038032843,-0.390946112104956,-0.4236706387701332,1187.892857142857,1114.857142857143,1129.4642857142858,1144.0714285714284,1158.6785714285713,1173.2857142857142
11,11,Grant,0.4587737843551797,0.5412262156448203,3206,0.3355408388520971,0.6644591611479029,4187,0.333,0.667,4041,0.3883696780893042,0.6116303219106958,3844,0.4318181818181818,0.5681818181818182,3986,0.35897435897435903,0.6410256410256411,3837,0.16054564533053514,0.8394543546694648,3846,0.19571865443425074,0.8042813455657493,4061,0.2652218782249742,0.7347781217750258,3909,0.2256728778467909,0.7743271221532091,3911,0.1868131868131868,0.8131868131868132,4340,-0.05174907236782034,-0.1114057467319029,-0.07530380256499997,-0.07261473520469575,-0.10273100879881819,-0.18837827422364095,-0.3421348050194648,-0.29184147798374926,-0.27166659689602585,-0.29396574467320913,-0.3243197219848132,-0.39188862200663266,-0.42631116530643,-0.46066574697599094,-0.4949526348447648,-0.529172095161897,-0.5633243926089619,4365.75,4155.75,4197.75,4239.75,4281.75,4323.75
12,12,Harney,0.4867724867724868,0.5132275132275133,3407,0.3241150442477876,0.6758849557522124,3785,0.36958710976837866,0.6304128902316213,3512,0.42946058091286304,0.5705394190871369,3330,0.4194484760522496,0.5805515239477503,3372,0.3349339735894358,0.6650660264105642,3515,0.21465968586387435,0.7853403141361257,3734,0.22998986828774065,0.7700101317122594,3702,0.2679127725856698,0.7320872274143302,3683,0.2416666666666667,0.7583333333333333,3583,0.19005524861878453,0.8099447513812155,3974,-0.023750369950513217,-0.12283154133621244,-0.03871669279662132,-0.03152383238113693,-0.1151007145647504,-0.2124186596085642,-0.2880207644861256,-0.25757026413025935,-0.2689757025353302,-0.27797195585333334,-0.32107766017921546,-0.38085974783300003,-0.41602076156871703,-0.4511123556862344,-0.48613480376070584,-0.5210883777532445,-0.5559733480235707,4294.1547619047615,3934.9285714285716,4006.773809523809,4078.6190476190477,4150.464285714285,4222.309523809524
13,13,Hood River,0.4921301154249738,0.5078698845750262,6636,0.4587973273942093,0.5412026726057906,7092,0.4002006018054163,0.5997993981945838,7571,0.5015353121801432,0.4984646878198567,6689,0.5585331452750353,0.4414668547249647,7841,0.5663924794359577,0.4336075205640424,7574,0.5225027442371021,0.4774972557628979,8549,0.5756345177664975,0.4243654822335025,9859,0.658787255909558,0.34121274409044194,9830,0.6383419689119171,0.3616580310880829,9838,0.6655518394648829,0.33444816053511706,10910,-0.018392741298026205,0.011850741810209287,-0.008103200759583706,0.04055089888614327,0.023983954658035267,0.019039846237957736,0.019822293887102105,0.08807438534849754,0.12189878078855798,0.11870334639191704,0.15441893066688295,0.16121938988838735,0.18062534750814052,0.1999929912675924,0.21932247215748646,0.23861394027774452,0.2578675448444727,14270.714285714286,11436.785714285714,12003.571428571428,12570.357142857143,13137.142857142859,13703.928571428572
14,14,Jackson,0.4910242872228088,0.5089757127771911,50236,0.3770856507230255,0.6229143492769744,58740,0.3801404212637914,0.6198595787362087,61359,0.4631901840490798,0.5368098159509203,61912,0.504,0.4960000000000001,77096,0.463785046728972,0.5362149532710281,73647,0.4186295503211992,0.5813704496788008,84796,0.4397163120567376,0.5602836879432624,102189,0.5005149330587024,0.4994850669412977,101047,0.4755970924195223,0.5244029075804777,97127,0.4522222222222223,0.5477777777777777,109327,-0.019498569500191243,-0.0698609348609745,-0.0281633813012086,0.0022057707550798278,-0.03054919061700001,-0.08356758646902801,-0.08405090002880078,-0.04784382036126239,-0.03637354206229759,-0.04404153010047773,-0.05891068657577769,-0.06490190933885209,-0.06865703002644885,-0.07240473684804449,-0.07614505902087387,-0.07987802558979595,-0.0836036654286545,148520.04761904763,116874.03571428571,123203.2380952381,129532.44047619047,135861.64285714284,142190.84523809524
15,15,Jefferson,0.4941921858500528,0.5058078141499472,3777,0.3956916099773243,0.6043083900226758,4737,0.3691073219658977,0.6308926780341023,5216,0.4835390946502057,0.5164609053497943,4995,0.5243553008595988,0.4756446991404011,5906,0.4922341696535245,0.5077658303464755,6195,0.4116402116402117,0.5883597883597884,6897,0.4052684903748733,0.5947315096251267,8115,0.455761316872428,0.5442386831275721,8318,0.4156378600823046,0.5843621399176955,8175,0.35195530726256985,0.6480446927374302,9459,-0.016330670872947206,-0.051254975606675746,-0.0391964805991023,0.022554681356205752,-0.010193889757401209,-0.05511846354447547,-0.09104023870978828,-0.08229164204312672,-0.08112715824857203,-0.10400076243769546,-0.15917760153543015,-0.16673729289550465,-0.1880814819464547,-0.20938353041904634,-0.23064360438471,-0.2518618689350518,-0.2730384881896555,12932.619047619048,9945.714285714286,10543.095238095237,11140.47619047619,11737.857142857143,12335.238095238095
16,16,Josephine,0.4578441835645678,0.5421558164354323,21110,0.297029702970297,0.7029702970297029,26336,0.3046092184368737,0.6953907815631263,28062,0.4012345679012346,0.5987654320987654,27272,0.4587412587412587,0.5412587412587413,33559,0.4089834515366431,0.591016548463357,32111,0.3484358144552319,0.6515641855447681,36733,0.3669724770642202,0.6330275229357799,42275,0.43125,0.56875,42049,0.3875,0.6124999999999999,40238,0.33333333333333337,0.6666666666666667,44560,-0.05267867315843222,-0.149916882613703,-0.10369458412812627,-0.0597498453927654,-0.07580793187574131,-0.13836918166135687,-0.15424463589476806,-0.1205876553537798,-0.105638475121,-0.13213862252000003,-0.17779957546466663,-0.17268752465242443,-0.18419883105960366,-0.19568741029225833,-0.20715335191570716,-0.21859674496683823,-0.2300176779582941,58811.369047619046,47515.71428571429,49774.84523809524,52033.97619047618,54293.107142857145,56552.23809523809
