,counties,1976D,1976R,1976Total,1980D,1980R,1980Total,1984D,1984R,1984Total,1988D,1988R,1988Total,1992D,1992R,1992Total,1996D,1996R,1996Total,2000D,2000R,2000Total,2004D,2004R,2004Total,2008D,2008R,2008Total,2012D,2012R,2012Total,2016D,2016R,2016Total,Partisan Lean 1976,Partisan Lean 1980,Partisan Lean 1984,Partisan Lean 1988,Partisan Lean 1992,Partisan Lean 1996,Partisan Lean 2000,Partisan Lean 2004,Partisan Lean 2008,Partisan Lean 2012,Partisan Lean 2016,Partisan Lean 2020,Partisan Lean 2024,Partisan Lean 2028,Partisan Lean 2032,Partisan Lean 2036,Partisan Lean 2040,2040Total,2020Total,2024Total,2028Total,2032Total,2036Total
0,Baker,0.49739854318418314,0.5026014568158168,6919,0.3465783664459161,0.653421633554084,8013,0.3326653306613227,0.6673346693386774,7812,0.4393782383419689,0.5606217616580311,6826,0.4555873925501433,0.5444126074498568,7530,0.3907910271546635,0.6092089728453365,7703,0.28118393234672306,0.718816067653277,8258,0.29531568228105903,0.7046843177189409,9034,0.33195020746887965,0.6680497925311204,8777,0.2931937172774869,0.7068062827225131,8448,0.2245345016429354,0.7754654983570646,8779,-0.0034270708158168905,-0.2668686665540839,-0.1632752053386773,0.0572393373419689,-0.05493546417285672,-0.056155558429336505,-0.12711987021827692,-0.16566873101294094,-0.20259898314812036,-0.2541589159205131,-0.27814594870706455,-0.33928822231976596,-0.3843429423727116,-0.42930870931729714,-0.47418587370810883,-0.5189747840313146,-0.563675786721376,10686.761904761905,9361.82142857143,9626.809523809523,9891.797619047618,10156.785714285714,10421.77380952381
1,Benton,0.43329775880469584,0.5667022411953042,29307,0.46748466257668714,0.5325153374233129,34507,0.47389558232931733,0.5261044176706827,34062,0.5474974463738509,0.45250255362614905,31610,0.6084724005134787,0.39152759948652116,37923,0.5802325581395349,0.4197674418604651,34500,0.551462621885157,0.4485373781148429,38226,0.589430894308943,0.41056910569105687,45735,0.6622039134912462,0.33779608650875387,46478,0.6492146596858639,0.3507853403141361,44802,0.6845714285714286,0.31542857142857145,48753,-0.06752785519530419,-0.1459623704233129,-0.022044953670682654,0.16535854537385092,0.09794954379047871,0.13328597255553487,0.14315881932015706,0.12844648101494305,0.12765472287424617,0.10186202648786391,0.18189097822142863,0.14043470100637911,0.14164527202373733,0.14285345296843133,0.144059253259476,0.1452626822603147,0.14646374927926242,63378.02380952381,51601.892857142855,53957.11904761905,56312.34523809524,58667.57142857143,61022.79761904762
2,Clackamas,0.47132429614181437,0.5286757038581856,93959,0.4282407407407407,0.5717592592592592,109483,0.407815631262525,0.5921843687374749,116173,0.4933875890132248,0.5066124109867751,123351,0.5284552845528455,0.47154471544715443,154538,0.5319634703196348,0.46803652968036535,145146,0.49631190727081137,0.5036880927291886,162262,0.493427704752275,0.506572295247725,195000,0.5528205128205128,0.4471794871794872,191878,0.5185185185185186,0.4814814814814815,189332,0.5359550561797753,0.4640449438202247,214039,-0.02950131785818566,-0.18520629225925933,-0.08812490473747497,0.11124868801322485,0.0179324278298455,0.08501688473563473,0.08800810470581139,0.032443291458275014,0.018271322203512796,-0.028834114679481382,0.03327460582977537,-0.010625843478194952,-0.022832624899962184,-0.035015306046574324,-0.04717398189460198,-0.059308746860239125,-0.07141969480377242,282971.10714285716,224535.39285714284,236222.5357142857,247909.67857142858,259596.82142857142,271283.96428571426
3,Clatsop,0.5195767195767196,0.4804232804232804,13616,0.5142517814726841,0.485748218527316,14959,0.5,0.5,15085,0.5755102040816327,0.4244897959183674,14316,0.6214382632293081,0.37856173677069205,16812,0.5919811320754716,0.40801886792452824,15405,0.5442764578833693,0.45572354211663074,16474,0.5519348268839104,0.4480651731160896,19309,0.5979274611398964,0.4020725388601036,18548,0.5760416666666667,0.4239583333333334,17818,0.5322033898305085,0.46779661016949153,19664,0.01875110557671955,-0.0991952515273159,0.004059464000000013,0.1933713030816327,0.11091540650630805,0.14503454649147163,0.13597265531836933,0.0909504135899104,0.06337827052289635,0.02868903346866669,0.029522939480508548,0.0010610250504612395,-0.020720341361226247,-0.04245870406002439,-0.06415423251885954,-0.08580709521081076,-0.10741745961698257,23482.95238095238,20225.214285714286,20876.761904761905,21528.309523809523,22179.85714285714,22831.404761904763
4,Columbia,0.6052356020942408,0.3947643979057592,13859,0.5180586907449211,0.48194130925507905,15505,0.5125628140703518,0.48743718592964824,16105,0.5831622176591376,0.41683778234086244,15806,0.6140602582496414,0.3859397417503587,19402,0.5990453460620525,0.40095465393794744,18476,0.5242195909580194,0.4757804090419806,21195,0.5142857142857142,0.4857142857142857,24917,0.562955254942768,0.43704474505723206,24768,0.5272536687631026,0.47274633123689724,23875,0.43458475540386804,0.565415244596132,26618,0.10440998809424074,-0.09538834225507897,0.01662227807035177,0.20102331665913759,0.10353740152664137,0.15209876047805249,0.11591578839301941,0.05330130099171426,0.028406064325767977,-0.020098964434897337,-0.06809569494613193,-0.08594680393082399,-0.12054059100975678,-0.15506607836587705,-0.1895235351610154,-0.22391322896885413,-0.25823542578768865,35526.72619047619,28345.357142857145,29781.630952380954,31217.904761904763,32654.178571428572,34090.45238095238
5,Coos,0.5993723849372385,0.4006276150627615,24725,0.4750566893424037,0.5249433106575964,28176,0.498995983935743,0.501004016064257,27339,0.579650565262076,0.42034943473792397,24836,0.5652777777777778,0.43472222222222223,29659,0.52757793764988,0.47242206235011985,27638,0.4261057173678533,0.5738942826321467,29379,0.4402451481103166,0.5597548518896833,33362,0.4838709677419355,0.5161290322580646,30951,0.4666666666666666,0.5333333333333333,28686,0.36906077348066296,0.630939226519337,31313,0.09854677093723851,-0.13839034365759634,0.0030554479357430275,0.19751166426207606,0.05475492105477775,0.08063135206588001,0.017801914802853314,-0.020739265183683353,-0.050678222875064516,-0.08068596653133336,-0.133619676869337,-0.17492648350912532,-0.2153350870229076,-0.2556639104186331,-0.2959132681010317,-0.33608347261989024,-0.37617483468469004,35629.92857142857,32392.071428571428,33039.642857142855,33687.21428571429,34334.78571428572,34982.357142857145
6,Crook,0.5479876160990712,0.45201238390092874,4777,0.41,0.59,5862,0.3755020080321285,0.6244979919678716,6064,0.4714285714285715,0.5285714285714286,5882,0.4811715481171548,0.5188284518828452,7271,0.44510739856801906,0.5548926014319809,6989,0.31573389651531153,0.6842661034846885,8277,0.3068297655453619,0.6931702344546382,10051,0.36335403726708076,0.6366459627329193,10352,0.3133402275077559,0.6866597724922441,10230,0.23689956331877726,0.7631004366812227,12172,0.047162002099071176,-0.20344703300000005,-0.12043852796787147,0.0892896704285715,-0.029351308605845228,-0.0018391870159809587,-0.09256990604968846,-0.15415464774863807,-0.17119515334991925,-0.23401240569024406,-0.2657808870312227,-0.32524211704503614,-0.373320096028948,-0.42130315297876564,-0.4691916619719052,-0.516985994878695,-0.5646865213799686,16897.47619047619,12689.857142857141,13531.380952380952,14372.904761904761,15214.42857142857,16055.95238095238
7,Curry,0.5215562565720295,0.4784437434279706,6507,0.35129068462401797,0.6487093153759821,8488,0.3895582329317269,0.6104417670682731,8815,0.45790554414784396,0.542094455852156,9012,0.5021645021645021,0.49783549783549785,11050,0.4670731707317073,0.5329268292682927,10972,0.38419913419913415,0.6158008658008658,11513,0.41590214067278286,0.5840978593272171,12799,0.4402907580477674,0.5597092419522326,12332,0.41207075962539025,0.5879292403746098,11678,0.37349397590361444,0.6265060240963854,12611,0.0207306425720295,-0.26215634837598206,-0.10638230306827307,0.07576664314784398,-0.008358354558497871,0.020126585147707265,-0.024104668365865833,-0.04508227262121711,-0.09425843256923261,-0.13528187357260973,-0.12918647444638554,-0.17248193490554797,-0.20116544103348133,-0.22979231631286723,-0.258362783919722,-0.2868770657132984,-0.3153353822465874,15307.071428571428,13301.17857142857,13702.357142857141,14103.535714285714,14504.714285714284,14905.892857142855
8,Deschutes,0.5115062761506276,0.48849372384937245,19382,0.38843930635838153,0.6115606936416185,28715,0.37675350701402804,0.6232464929859719,31066,0.4647599591419816,0.5352400408580184,31366,0.5007012622720898,0.49929873772791017,43918,0.4479905437352246,0.5520094562647755,45282,0.4070512820512821,0.592948717948718,57885,0.42741116751269037,0.5725888324873096,74048,0.4984646878198567,0.5015353121801432,79782,0.4654282765737874,0.5345717234262125,81900,0.48156424581005586,0.5184357541899441,98557,0.010680662150627573,-0.2250077266416185,-0.11918702898597194,0.08262105814198162,-0.009821594450910243,0.0010439581512246,-0.0012525205137178808,-0.0335732457813096,-0.036084502797143314,-0.0819243566242126,-0.021116204539944117,-0.07827375790161994,-0.09279057780593547,-0.10727873664539089,-0.12173834737013323,-0.13616952226387724,-0.15057237294925585,152296.35714285716,105873.14285714286,115157.78571428571,124442.42857142857,133727.07142857142,143011.7142857143
9,Douglas,0.47589098532494756,0.5241090146750523,32973,0.35215946843853824,0.6478405315614618,39516,0.36646586345381527,0.6335341365461847,39996,0.4614594039054471,0.538540596094553,38415,0.42600276625172895,0.5739972337482712,45860,0.41129032258064513,0.5887096774193548,42769,0.3191940615058324,0.6808059384941675,47220,0.33468972533062047,0.6653102746693794,54984,0.3960703205791107,0.6039296794208894,52937,0.3575883575883576,0.6424116424116425,49803,0.28932893289328937,0.7106710671067107,53521,-0.024934628675052473,-0.2612875645614618,-0.12947467254618472,0.07932050290544712,-0.08452009047127107,-0.03565626300335489,-0.08910974105916758,-0.1262946879633795,-0.13847887003788933,-0.18976427560964237,-0.2133515174567106,-0.25571373262872044,-0.2901472668866347,-0.324512817814508,-0.3588106533272537,-0.39304103975908333,-0.42720424187604067,66705.14285714286,56959.607142857145,58908.71428571428,60857.82142857143,62806.928571428565,64756.03571428571
10,Gilliam,0.45369406867845996,0.5463059313215402,1166,0.38789237668161436,0.6121076233183856,1140,0.3453815261044177,0.6546184738955824,1073,0.47017189079878663,0.5298281092012133,897,0.4979253112033195,0.5020746887966805,1038,0.5488810365135454,0.4511189634864546,1040,0.3455882352941177,0.6544117647058824,1090,0.32894736842105265,0.6710526315789473,1138,0.3985581874356334,0.6014418125643667,1110,0.3676470588235294,0.6323529411764706,1061,0.2631578947368421,0.7368421052631579,1019,-0.04713154532154007,-0.22555465631838567,-0.1505590098955823,0.08803298979878665,-0.012597545519680509,0.10193445092954534,-0.06271556727088229,-0.13203704487294732,-0.1359910031813666,-0.1797055743744706,-0.23952255561315788,-0.2804069480137912,-0.3265072692418016,-0.3725165729945559,-0.41843521796201344,-0.46426356071785335,-0.5100019557362714,1187.892857142857,1114.857142857143,1129.4642857142858,1144.0714285714284,1158.6785714285713,1173.2857142857142
11,Grant,0.45877378435517974,0.5412262156448203,3206,0.3355408388520971,0.6644591611479029,4187,0.33299999999999996,0.667,4041,0.3883696780893042,0.6116303219106958,3844,0.4318181818181818,0.5681818181818182,3986,0.358974358974359,0.6410256410256411,3837,0.16054564533053517,0.8394543546694648,3846,0.19571865443425074,0.8042813455657493,4061,0.2652218782249742,0.7347781217750258,3909,0.2256728778467909,0.7743271221532091,3911,0.18681318681318682,0.8131868131868132,4340,-0.04205182964482029,-0.2779061941479029,-0.16294053600000002,0.006230777089304251,-0.0787046749048182,-0.08797222660964105,-0.24775815723446482,-0.26526575885974923,-0.26932731239202584,-0.3216797553512091,-0.31586726353681316,-0.4128936308822517,-0.46043301461338615,-0.5078785396778756,-0.5552305759624971,-0.6024894911716956,-0.6496556508449203,4365.75,4155.75,4197.75,4239.75,4281.75,4323.75
12,Harney,0.48677248677248675,0.5132275132275133,3407,0.3241150442477876,0.6758849557522124,3785,0.36958710976837866,0.6304128902316213,3512,0.42946058091286304,0.5705394190871369,3330,0.4194484760522496,0.5805515239477503,3372,0.3349339735894358,0.6650660264105642,3515,0.21465968586387435,0.7853403141361257,3734,0.22998986828774062,0.7700101317122594,3702,0.2679127725856698,0.7320872274143302,3683,0.24166666666666667,0.7583333333333333,3583,0.19005524861878453,0.8099447513812155,3974,-0.014053127227513285,-0.28933198875221244,-0.12635342623162132,0.04732167991286307,-0.09107438067075041,-0.11201261199456425,-0.19364411670112563,-0.23099454500625935,-0.2666364180313302,-0.3056859665313333,-0.31262520173121544,-0.4018645602436095,-0.45014237103995924,-0.4983248652672785,-0.546412418557793,-0.5944054043275173,-0.642304193793791,4294.1547619047615,3934.9285714285716,4006.773809523809,4078.6190476190477,4150.464285714285,4222.309523809524
13,Hood River,0.49213011542497376,0.5078698845750262,6636,0.4587973273942093,0.5412026726057906,7092,0.4002006018054163,0.5997993981945838,7571,0.5015353121801432,0.4984646878198567,6689,0.5585331452750353,0.4414668547249647,7841,0.5663924794359577,0.43360752056404234,7574,0.5225027442371021,0.4774972557628979,8549,0.5756345177664975,0.4243654822335025,9859,0.658787255909558,0.34121274409044194,9830,0.6383419689119171,0.36165803108808287,9838,0.6655518394648829,0.33444816053511706,10910,-0.008695498575026273,-0.15464970560579072,-0.09573993419458371,0.11939641118014327,0.04801028855203526,0.1194458938519577,0.1141989416721021,0.11465010447249757,0.12423806529255799,0.0909893357139171,0.16287138911488297,0.1402141044587708,0.14650316059591617,0.152779800029748,0.15904407169313828,0.16529602423026546,0.17153570599888113,14270.714285714286,11436.785714285714,12003.571428571428,12570.357142857143,13137.142857142859,13703.928571428572
14,Jackson,0.49102428722280883,0.5089757127771911,50236,0.3770856507230255,0.6229143492769744,58740,0.3801404212637914,0.6198595787362087,61359,0.46319018404907975,0.5368098159509203,61912,0.504,0.49600000000000005,77096,0.46378504672897203,0.5362149532710281,73647,0.41862955032119914,0.5813704496788008,84796,0.4397163120567376,0.5602836879432624,102189,0.5005149330587024,0.4994850669412977,101047,0.4755970924195223,0.5244029075804777,97127,0.45222222222222225,0.5477777777777777,109327,-0.0098013267771912,-0.2363613822769745,-0.1158001147362086,0.08105128304907977,-0.0065228567230000145,0.016838461144972006,0.010325747756199155,-0.02126810123726236,-0.03403425755829759,-0.07175554077847768,-0.05045822812777773,-0.08590693598380028,-0.10277890102528886,-0.11961755515658012,-0.13642302965234876,-0.15319545501272103,-0.1699349609694849,148520.04761904763,116874.03571428571,123203.2380952381,129532.44047619047,135861.64285714284,142190.84523809524
15,Jefferson,0.4941921858500528,0.5058078141499472,3777,0.3956916099773243,0.6043083900226758,4737,0.3691073219658977,0.6308926780341023,5216,0.4835390946502057,0.5164609053497943,4995,0.5243553008595988,0.4756446991404011,5906,0.4922341696535245,0.5077658303464755,6195,0.41164021164021164,0.5883597883597884,6897,0.40526849037487334,0.5947315096251267,8115,0.455761316872428,0.5442386831275721,8318,0.4156378600823046,0.5843621399176955,8175,0.35195530726256985,0.6480446927374302,9459,-0.006633428149947218,-0.21775542302267575,-0.1268332140341023,0.10140019365020575,0.013832444136598787,0.04528758406952449,0.003336409075211655,-0.05571592291912664,-0.07878787374457202,-0.1317147731156954,-0.15072514308743012,-0.18774229519175378,-0.22220332322180525,-0.256596313639875,-0.29092153457486347,-0.3251792525735766,-0.35936973261345884,12932.619047619048,9945.714285714286,10543.095238095237,11140.47619047619,11737.857142857143,12335.238095238095
16,Josephine,0.4578441835645678,0.5421558164354323,21110,0.297029702970297,0.7029702970297029,26336,0.3046092184368737,0.6953907815631263,28062,0.4012345679012346,0.5987654320987654,27272,0.4587412587412587,0.5412587412587413,33559,0.40898345153664306,0.591016548463357,32111,0.3484358144552319,0.6515641855447681,36733,0.3669724770642202,0.6330275229357799,42275,0.43124999999999997,0.56875,42049,0.3875,0.6124999999999999,40238,0.33333333333333337,0.6666666666666667,44560,-0.04298143043543223,-0.316417330029703,-0.19133131756312627,0.019095666901234598,-0.05178159798174131,-0.03796313404735696,-0.05986798810976807,-0.09401193622977977,-0.10329919061700005,-0.15985263319799997,-0.1693471170166666,-0.19369264414396525,-0.21832081540247827,-0.24290036240181223,-0.26743147676485535,-0.2919143489839655,-0.31634916842985206,58811.369047619046,47515.71428571429,49774.84523809524,52033.97619047618,54293.107142857145,56552.23809523809
